"Node id (0-based)","[0] vertex (==1)","[1] degree","[2] 2-path","[3] bifork","[4] 3-cycle"
260,1,5,45,9,1
261,1,12,133,56,10
262,1,0,0,-0,0
263,1,7,44,18,3
264,1,5,39,9,1
265,1,5,26,7,3
266,1,8,53,24,4
267,1,6,40,11,4
268,1,11,93,48,7
269,1,13,77,66,12
270,1,11,49,38,17
271,1,4,27,0,6
272,1,6,30,11,4
273,1,0,0,-0,0
274,1,11,87,47,8
275,1,16,155,103,17
276,1,2,23,0,1
277,1,14,133,71,20
278,1,1,6,0,0
279,1,15,133,56,49
280,1,15,190,88,17
281,1,7,40,15,6
282,1,4,22,3,3
283,1,8,35,17,11
284,1,19,173,134,37
285,1,8,54,23,5
286,1,2,3,1,0
287,1,12,82,49,17
288,1,3,7,3,0
289,1,13,104,57,21
290,1,15,142,67,38
291,1,22,261,179,52
292,1,19,191,126,45
293,1,10,81,32,13
294,1,18,167,121,32
295,1,7,26,14,7
296,1,8,83,20,8
297,1,16,169,103,17
298,1,26,299,259,66
299,1,18,150,99,54
300,1,2,17,0,1
301,1,14,103,74,17
302,1,9,88,21,15
303,1,17,142,97,39
304,1,16,120,90,30
305,1,16,138,82,38
306,1,11,103,36,19
307,1,22,192,188,43
308,1,23,214,199,54
309,1,12,86,51,15
310,1,22,287,174,57
311,1,0,0,-0,0
312,1,17,139,101,35
313,1,15,167,80,25
314,1,8,91,7,21
315,1,16,149,81,39
316,1,7,40,18,3
317,1,13,125,57,21
318,1,11,83,43,12
319,1,18,165,111,42
320,1,5,21,6,4
321,1,0,0,-0,0
322,1,12,108,51,15
323,1,2,11,1,0
324,1,14,107,65,26
325,1,12,95,38,28
326,1,12,91,41,25
327,1,15,100,76,29
328,1,17,100,94,42
329,1,17,138,107,29
330,1,13,95,53,25
331,1,15,93,68,37
332,1,10,100,38,7
333,1,8,44,24,4
334,1,3,10,3,0
335,1,9,52,30,6
336,1,6,40,9,6
337,1,4,25,3,3
338,1,12,66,55,11
339,1,9,77,28,8
340,1,6,44,12,3
341,1,1,3,0,0
342,1,0,0,-0,0
343,1,19,147,109,62
344,1,3,4,0,3
345,1,13,113,61,17
346,1,15,54,65,40
347,1,14,124,68,23
348,1,3,30,2,1
349,1,12,105,58,8
350,1,19,163,125,46
351,1,12,67,36,30
352,1,11,96,40,15
353,1,12,131,52,14
354,1,17,160,91,45
355,1,17,163,104,32
356,1,20,207,158,32
357,1,18,171,126,27
358,1,3,17,2,1
359,1,8,46,22,6
360,1,12,77,52,14
361,1,11,68,46,9
362,1,6,40,9,6
363,1,3,14,3,0
364,1,7,31,17,4
365,1,10,47,35,10
366,1,15,107,74,31
367,1,14,127,71,20
368,1,18,169,124,29
369,1,18,178,121,32
370,1,9,73,24,12
371,1,10,69,39,6
372,1,9,80,24,12
373,1,3,5,3,0
374,1,5,39,7,3
375,1,0,0,-0,0
376,1,7,64,14,7
377,1,4,53,5,1
378,1,14,171,74,17
379,1,1,0,0,0
380,1,24,261,191,85
381,1,2,11,1,0
382,1,13,190,33,45
383,1,22,276,163,68
384,1,3,23,2,1
385,1,10,63,9,36
386,1,23,318,170,83
387,1,5,32,7,3
388,1,11,61,42,13
389,1,18,152,117,36
390,1,6,45,11,4
391,1,23,285,182,71
392,1,6,71,10,5
393,1,16,114,94,26
394,1,17,205,113,23
395,1,30,380,329,106
396,1,21,287,167,43
397,1,18,187,129,24
398,1,23,307,193,60
399,1,3,45,2,1
400,1,24,291,226,50
401,1,2,4,1,0
402,1,15,197,80,25
403,1,38,507,583,120
404,1,6,15,11,4
405,1,13,144,60,18
406,1,3,9,2,1
407,1,26,349,257,68
408,1,19,238,137,34
409,1,5,62,4,6
410,1,24,312,214,62
411,1,17,114,82,54
412,1,9,90,27,9
413,1,23,209,194,59
414,1,31,425,335,130
415,1,22,313,178,53
416,1,0,0,-0,0
417,1,9,37,20,16
418,1,28,359,280,98
419,1,1,1,0,0
420,1,7,63,18,3
421,1,4,34,5,1
422,1,17,141,77,59
423,1,5,40,0,10
424,1,17,124,67,69
425,1,9,125,23,13
426,1,0,0,-0,0
427,1,2,12,1,0
428,1,1,1,0,0
429,1,12,97,60,6
430,1,12,61,47,19
431,1,11,86,49,6
432,1,9,70,30,6
433,1,4,18,6,0
434,1,4,17,5,1
435,1,9,45,31,5
436,1,4,29,3,3
437,1,11,68,45,10
438,1,11,76,49,6
439,1,7,57,17,4
440,1,10,83,40,5
441,1,1,3,0,0
442,1,5,47,9,1
443,1,4,13,5,1
444,1,4,11,5,1
445,1,4,17,4,2
446,1,0,0,-0,0
447,1,8,82,15,13
448,1,12,135,47,19
449,1,2,17,1,0
450,1,7,48,11,10
451,1,11,88,42,13
452,1,15,73,77,28
453,1,14,117,76,15
454,1,10,76,33,12
455,1,10,78,32,13
456,1,3,9,2,1
457,1,0,0,-0,0
458,1,7,57,17,4
459,1,8,44,22,6
460,1,8,45,21,7
461,1,14,99,78,13
462,1,10,72,36,9
463,1,6,39,9,6
464,1,5,27,9,1
465,1,7,42,14,7
466,1,0,0,-0,0
467,1,0,0,-0,0
468,1,10,75,37,8
469,1,13,103,67,11
470,1,3,20,2,1
471,1,0,0,-0,0
472,1,15,175,79,26
473,1,7,45,16,5
474,1,21,143,154,56
475,1,7,32,17,4
476,1,7,64,16,5
477,1,20,245,150,40
478,1,19,184,139,32
479,1,4,12,3,3
480,1,10,108,33,12
481,1,14,160,54,37
482,1,3,6,2,1
483,1,1,6,0,0
484,1,2,20,0,1
485,1,14,87,69,22
486,1,10,77,40,5
487,1,18,213,109,44
488,1,13,83,59,19
489,1,18,129,116,37
490,1,9,119,0,36
491,1,5,53,4,6
492,1,20,172,147,43
493,1,15,134,81,24
494,1,10,61,38,7
495,1,9,47,28,8
496,1,21,226,163,47
497,1,29,351,322,84
498,1,16,124,65,55
499,1,13,145,61,17
500,1,10,119,31,14
501,1,25,278,247,53
502,1,15,121,85,20
503,1,17,153,104,32
504,1,13,127,60,18
505,1,18,149,122,31
506,1,13,123,66,12
507,1,17,175,98,38
508,1,24,310,221,55
509,1,29,271,336,70
510,1,7,73,16,5
511,1,14,173,77,14
512,1,30,402,357,78
513,1,12,131,53,13
514,1,18,149,117,36
515,1,0,0,-0,0
516,1,8,48,17,11
517,1,16,136,101,19
518,1,8,53,21,7
519,1,17,251,97,39
520,1,21,251,169,41
521,1,7,40,16,5
522,1,21,253,157,53
523,1,12,83,49,17
524,1,17,185,91,45
525,1,5,26,6,4
526,1,1,0,0,0
527,1,9,58,27,9
528,1,9,65,27,9
529,1,13,95,64,14
530,1,14,109,79,12
531,1,11,85,46,9
532,1,7,45,6,15
533,1,3,13,2,1
534,1,8,47,24,4
535,1,4,22,5,1
536,1,10,88,39,6
537,1,11,74,45,10
538,1,2,3,1,0
539,1,1,1,0,0
540,1,0,0,-0,0
541,1,3,6,2,1
542,1,10,87,35,10
543,1,19,152,139,32
544,1,8,70,25,3
545,1,15,145,78,27
546,1,12,47,28,38
547,1,10,96,31,14
548,1,16,130,81,39
549,1,5,54,9,1
550,1,11,108,38,17
551,1,2,0,1,0
552,1,12,133,53,13
553,1,6,61,4,11
554,1,14,110,71,20
555,1,23,235,214,39
556,1,13,98,59,19
557,1,19,154,135,36
558,1,14,99,74,17
559,1,3,14,1,2
560,1,12,100,44,22
561,1,16,152,107,13
562,1,17,177,107,29
563,1,6,45,12,3
564,1,2,14,1,0
565,1,12,95,48,18
566,1,2,16,1,0
567,1,12,122,29,37
568,1,13,118,53,25
569,1,6,31,13,2
570,1,8,52,21,7
571,1,18,148,96,57
572,1,1,0,0,0
573,1,6,53,5,10
574,1,18,235,81,72
575,1,4,8,3,3
576,1,3,8,3,0
577,1,18,221,120,33
578,1,6,58,10,5
579,1,11,88,36,19
580,1,18,140,125,28
581,1,6,32,12,3
582,1,19,165,112,59
583,1,15,112,47,58
584,1,11,108,33,22
585,1,21,303,153,57
586,1,10,100,32,13
587,1,11,96,41,14
588,1,14,135,67,24
589,1,11,66,10,45
590,1,2,29,1,0
591,1,22,290,144,87
592,1,2,7,1,0
593,1,14,163,45,46
594,1,4,21,5,1
595,1,9,50,29,7
596,1,15,105,67,38
597,1,13,172,56,22
598,1,12,116,49,17
599,1,5,56,4,6
600,1,21,157,157,53
601,1,11,84,34,21
602,1,21,148,136,74
603,1,5,31,8,2
604,1,11,81,41,14
605,1,16,144,88,32
606,1,7,60,17,4
607,1,11,80,31,24
608,1,15,139,85,20
609,1,8,52,24,4
610,1,5,14,9,1
611,1,0,0,-0,0
612,1,3,22,3,0
613,1,18,160,94,59
614,1,4,8,6,0
615,1,4,10,5,1
616,1,16,139,98,22
617,1,18,128,84,69
618,1,5,36,7,3
619,1,3,14,0,3
620,1,4,28,5,1
621,1,3,22,2,1
622,1,10,53,23,22
623,1,3,15,2,1
624,1,10,81,33,12
625,1,9,82,26,10
626,1,16,174,92,28
627,1,17,148,87,49
628,1,1,3,0,0
629,1,14,102,73,18
630,1,10,76,33,12
631,1,6,47,5,10
632,1,23,217,216,37
633,1,11,60,42,13
634,1,8,48,18,10
635,1,12,110,49,17
636,1,15,162,73,32
637,1,20,182,107,83
638,1,14,180,72,19
639,1,11,95,41,14
640,1,25,316,217,83
641,1,18,183,116,37
642,1,11,132,38,17
643,1,6,13,8,7
644,1,13,100,43,35
645,1,17,188,98,38
646,1,7,60,19,2
647,1,6,19,12,3
648,1,6,33,13,2
649,1,8,49,25,3
650,1,5,27,7,3
651,1,19,195,129,42
652,1,14,121,43,48
653,1,1,0,0,0
654,1,1,1,0,0
655,1,14,118,75,16
656,1,23,227,199,54
657,1,8,30,17,11
658,1,1,14,0,0
659,1,14,149,63,28
660,1,1,9,0,0
661,1,22,254,172,59
662,1,16,153,86,34
663,1,10,89,29,16
664,1,18,191,109,44
665,1,5,55,6,4
666,1,25,269,228,72
667,1,17,137,84,52
668,1,15,185,75,30
669,1,8,55,18,10
670,1,9,57,31,5
671,1,21,231,154,56
672,1,5,32,8,2
673,1,6,32,5,10
674,1,6,32,11,4
675,1,19,217,126,45
676,1,15,139,69,36
677,1,18,222,113,40
678,1,15,180,75,30
679,1,0,0,-0,0
680,1,9,43,14,22
681,1,18,209,109,44
682,1,8,45,18,10
683,1,15,139,78,27
684,1,4,24,5,1
685,1,10,49,31,14
686,1,11,61,41,14
687,1,12,66,50,16
688,1,8,61,17,11
689,1,11,64,41,14
690,1,11,62,30,25
691,1,5,20,9,1
692,1,5,27,7,3
693,1,5,24,8,2
694,1,5,34,9,1
695,1,6,42,12,3
696,1,6,20,13,2
697,1,5,24,8,2
698,1,5,21,9,1
699,1,1,14,0,0
700,1,7,63,19,2
701,1,12,94,46,20
702,1,13,93,69,9
703,1,20,152,129,61
704,1,6,51,13,2
705,1,9,65,26,10
706,1,9,71,28,8
707,1,8,59,24,4
708,1,20,150,159,31
709,1,7,59,18,3
710,1,11,46,18,37
711,1,11,73,39,16
712,1,17,131,94,42
713,1,4,27,5,1
714,1,2,4,1,0
715,1,2,13,1,0
716,1,13,63,47,31
717,1,15,152,88,17
718,1,15,122,65,40
719,1,13,120,55,23
720,1,2,6,1,0
721,1,4,32,3,3
722,1,10,67,36,9
723,1,11,89,43,12
724,1,14,90,68,23
725,1,2,12,1,0
726,1,3,17,3,0
727,1,6,46,13,2
728,1,8,66,24,4
729,1,10,91,37,8
730,1,1,6,0,0
731,1,6,69,11,4
732,1,4,25,3,3
733,1,9,36,22,14
734,1,8,55,22,6
735,1,10,82,31,14
736,1,5,33,0,10
737,1,27,212,241,110
738,1,18,148,128,25
739,1,17,132,81,55
740,1,2,31,0,1
741,1,20,220,114,76
742,1,16,174,65,55
743,1,0,0,-0,0
744,1,2,3,0,1
745,1,0,0,-0,0
746,1,1,0,0,0
747,1,0,0,-0,0
748,1,3,9,2,1
749,1,3,4,2,1
750,1,8,31,19,9
751,1,5,13,7,3
752,1,4,13,5,1
753,1,0,0,-0,0
754,1,9,44,24,12
755,1,4,23,5,1
756,1,0,0,-0,0
757,1,8,29,20,8
758,1,1,0,0,0
759,1,1,1,0,0
760,1,1,0,0,0
761,1,1,0,0,0
762,1,14,178,23,68
763,1,8,95,0,28
764,1,2,7,1,0
765,1,4,17,3,3
766,1,6,27,0,15
767,1,2,5,1,0
768,1,2,1,1,0
769,1,2,8,1,0
770,1,3,11,2,1
771,1,2,9,1,0
772,1,2,19,1,0
773,1,2,2,0,1
774,1,1,7,0,0
775,1,8,15,25,3
776,1,0,0,-0,0
777,1,9,61,8,28
778,1,0,0,-0,0
779,1,0,0,-0,0
780,1,1,0,0,0
781,1,1,1,0,0
782,1,3,19,3,0
783,1,1,3,0,0
784,1,8,91,7,21
785,1,2,7,1,0
786,1,6,34,14,1
787,1,0,0,-0,0
788,1,2,8,1,0
789,1,4,4,5,1
790,1,4,4,5,1
791,1,2,4,0,1
792,1,2,13,1,0
793,1,2,31,1,0
794,1,0,0,-0,0
795,1,2,8,1,0
796,1,7,27,11,10
797,1,0,0,-0,0
798,1,6,37,12,3
799,1,14,88,79,12
800,1,9,46,30,6
801,1,2,2,1,0
802,1,4,3,4,2
803,1,8,38,19,9
804,1,6,28,12,3
805,1,1,1,0,0
806,1,0,0,-0,0
807,1,4,13,5,1
808,1,1,1,0,0
809,1,5,21,9,1
810,1,9,54,30,6
811,1,10,40,37,8
812,1,5,15,4,6
813,1,0,0,-0,0
814,1,18,221,114,39
815,1,7,58,18,3
816,1,21,227,149,61
817,1,12,152,47,19
818,1,17,158,85,51
819,1,19,114,102,69
820,1,15,94,67,38
821,1,10,59,36,9
822,1,20,261,129,61
823,1,5,34,0,10
824,1,13,151,47,31
825,1,19,232,126,45
826,1,21,270,133,77
827,1,14,102,34,57
828,1,17,203,101,35
829,1,26,353,253,72
830,1,7,65,18,3
831,1,3,43,2,1
832,1,15,140,57,48
833,1,24,326,175,101
834,1,22,245,181,50
835,1,3,21,2,1
836,1,8,39,20,8
837,1,16,206,83,37
838,1,14,114,25,66
